IATA,ID,CITY_NAME,STATE_NAME,label,region
AEX,10185,"Alexandria, LA",Louisiana,"AEX - Alexandria, LA",Southeast
BOS,10721,"Boston, MA",Massachusetts,"BOS - Boston, MA",Northeast
BRO,10747,"Brownsville, TX",Texas,"BRO - Brownsville, TX",Southwest
BUF,10792,"Buffalo, NY",New York,"BUF - Buffalo, NY",Northeast
CSG,11150,"Columbus, GA",Georgia,"CSG - Columbus, GA",Southeast
DFW,11298,"Dallas/Fort Worth, TX",Texas,"DFW - Dallas/Fort Worth, TX",Southwest
ELP,11540,"El Paso, TX",Texas,"ELP - El Paso, TX",Southwest
EWR,11618,"Newark, NJ",New Jersey,"EWR - Newark, NJ",Northeast
FLL,11697,"Fort Lauderdale, FL",Florida,"FLL - Fort Lauderdale, FL",Southeast
GYY,12055,"Gary, IN",Indiana,"GYY - Gary, IN",Midwest
HRL,12206,"Harlingen/San Benito, TX",Texas,"HRL - Harlingen/San Benito, TX",Southwest
IAH,12266,"Houston, TX",Texas,"IAH - Houston, TX",Southwest
JQF,12544,"CONCORD, NC",North Carolina,"JQF - CONCORD, NC",Southeast
LRD,13061,"Laredo, TX",Texas,"LRD - Laredo, TX",Southwest
MDT,13230,"Harrisburg, PA",Pennsylvania,"MDT - Harrisburg, PA",Northeast
MFE,13256,"Mission/McAllen/Edinburg, TX",Texas,"MFE - Mission/McAllen/Edinburg, TX",Southwest
TOL,15295,"Toledo, OH",Ohio,"TOL - Toledo, OH",Midwest
TUP,15374,"Tupelo, MS",Mississippi,"TUP - Tupelo, MS",Southeast
VCV,15570,"Victorville, CA",California,"VCV - Victorville, CA",Pacific
ASE,10372,"Aspen, CO",Colorado,"ASE - Aspen, CO",Southwest
ATL,10397,"Atlanta, GA",Georgia,"ATL - Atlanta, GA",Southeast
ERI,11577,"Erie, PA",Pennsylvania,"ERI - Erie, PA",Northeast
IAD,12264,"Washington, DC",Virginia,"IAD - Washington, DC",Northeast
MDW,13232,"Chicago, IL",Illinois,"MDW - Chicago, IL",Midwest
PWK,14320,"Chicago, IL",Illinois,"PWK - Chicago, IL",Midwest
RIL,14530,"Rifle, CO",Colorado,"RIL - Rifle, CO",Southwest
TEB,15167,"Teterboro, NJ",New Jersey,"TEB - Teterboro, NJ",Northeast
UGN,15447,"Waukegan, IL",Illinois,"UGN - Waukegan, IL",Midwest
BNA,10693,"Nashville, TN",Tennessee,"BNA - Nashville, TN",Southeast
FOK,11728,"Westhampton, NY",New York,"FOK - Westhampton, NY",Northeast
MCO,13204,"Orlando, FL",Florida,"MCO - Orlando, FL",Southeast
SLK,14875,"Saranac Lake/Lake Placid, NY",New York,"SLK - Saranac Lake/Lake Placid, NY",Northeast
ACK,10154,"Nantucket, MA",Massachusetts,"ACK - Nantucket, MA",Northeast
HYA,12250,"Hyannis, MA",Massachusetts,"HYA - Hyannis, MA",Northeast
DCA,11278,"Washington, DC",Virginia,"DCA - Washington, DC",Northeast
