DISTANCE_mean,DISTANCE_sum,FREIGHT_mean,FREIGHT_sum,MAIL_mean,MAIL_sum,PASSENGERS_mean,PASSENGERS_sum,origin_dest,source,target,PASSENGERS_sum_norm,FREIGHT_sum_norm,MAIL_sum_norm,DISTANCE_mean_norm
1035.0,11385.0,0.0,0.0,0.0,0.0,37.54545454545455,413.0,10140-11884,10140,11884,2.004070177436522,2.0,2.0,4.338983050847458
1069.0,1069.0,0.0,0.0,0.0,0.0,64.0,64.0,10140-11973,10140,11973,2.000630729675393,2.0,2.0,4.415819209039548
1253.0,3759.0,0.0,0.0,0.0,0.0,27.666666666666668,83.0,10140-11986,10140,11986,2.0008179775477757,2.0,2.0,4.8316384180790966
893.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,10140-12003,10140,12003,2.0,2.0,2.0,4.018079096045198
128.0,768.0,911.0,5466.0,0.0,0.0,0.0,0.0,10140-12018,10140,12018,2.0,2.000244076743684,2.0,2.289265536723164
759.0,9108.0,6008.083333333333,72097.0,0.0,0.0,9017.166666666666,108206.0,10140-12191,10140,12191,3.0663864883687317,2.003219392789862,2.0,3.7152542372881356
807.0,1614.0,14613.0,29226.0,0.0,0.0,2.5,5.0,10140-12206,10140,12206,2.0000492757558903,2.00130504700163,2.0,3.823728813559322
1628.0,6512.0,0.0,0.0,0.0,0.0,62.0,248.0,10140-12264,10140,12264,2.002444077492149,2.0,2.0,5.67909604519774
744.0,42408.0,632.6842105263158,36063.0,0.05263157894736842,3.0,1486.3684210526317,84723.0,10140-12266,10140,12266,2.83495797325531,2.0016103438725716,2.0000016908019247,3.68135593220339
542.0,3794.0,0.0,0.0,0.0,0.0,43.285714285714285,303.0,10140-12278,10140,12278,2.0029861108069396,2.0,2.0,3.224858757062147
1161.0,10449.0,0.0,0.0,0.4444444444444444,4.0,93.11111111111111,838.0,10140-12339,10140,12339,2.00825861668718,2.0,2.0000022544025664,4.623728813559322
1861.0,1861.0,0.0,0.0,0.0,0.0,2.0,2.0,10140-12391,10140,12391,2.000019710302356,2.0,2.0,6.205649717514125
1480.0,7400.0,10.6,53.0,0.0,0.0,3.4,17.0,10140-12451,10140,12451,2.0001675375700265,2.0000023666424105,2.0,5.344632768361582
1826.0,25564.0,0.0,0.0,0.0,0.0,3021.8571428571427,42306.0,10140-12478,10140,12478,2.4169320257372746,2.0,2.0,6.126553672316384
61.0,244.0,0.0,0.0,0.0,0.0,105.5,422.0,10140-12883,10140,12883,2.004158873797124,2.0,2.0,2.137853107344633
436.0,436.0,0.0,0.0,0.0,0.0,133.0,133.0,10140-12888,10140,12888,2.0013107351066766,2.0,2.0,2.985310734463277
486.0,11664.0,10238.375,245721.0,0.0,0.0,6060.291666666667,145447.0,10140-12889,10140,12889,3.43340217338934,2.010972334711815,2.0,3.0983050847457627
677.0,26403.0,3275.128205128205,127730.0,0.0,0.0,4355.4358974358975,169862.0,10140-12892,10140,12892,3.6740156894006755,2.0057036082090667,2.0,3.529943502824859
290.0,3770.0,569997.6923076923,7409970.0,0.0,0.0,4.230769230769231,55.0,10140-12896,10140,12896,2.000542033314791,2.3308820615434045,2.0,2.6553672316384183
1821.0,9105.0,158.6,793.0,0.0,0.0,37.8,189.0,10140-12953,10140,12953,2.0018626235726455,2.0000354103288953,2.0,6.115254237288136
664.0,11288.0,0.0,0.0,0.0,0.0,32.23529411764706,548.0,10140-12954,10140,12954,2.0054006228455545,2.0,2.0,3.5005649717514125
817.0,817.0,0.0,0.0,0.0,0.0,3.0,3.0,10140-12992,10140,12992,2.0000295654535343,2.0,2.0,3.8463276836158196
667.0,667.0,0.0,0.0,0.0,0.0,145.0,145.0,10140-13061,10140,13061,2.0014289969208128,2.0,2.0,3.507344632768362
332.0,1660.0,0.0,0.0,0.0,0.0,11.6,58.0,10140-13158,10140,13158,2.000571598768325,2.0,2.0,2.7502824858757062
718.0,10770.0,959.5333333333333,14393.0,0.0,0.0,2507.2,37608.0,10140-13198,10140,13198,2.3706325255029412,2.0006426997021305,2.0,3.622598870056497
1553.0,18636.0,760.75,9129.0,0.0,0.0,1293.1666666666667,15518.0,10140-13204,10140,13204,2.1529322359805,2.000407642991784,2.0,5.509604519774012
1121.0,13452.0,4584.583333333333,55015.0,0.0,0.0,7200.333333333333,86404.0,10140-13232,10140,13232,2.85152448238556,2.002456619475627,2.0,4.533333333333333
942.0,15072.0,820104.9375,13121679.0,0.0,0.0,15.125,242.0,10140-13244,10140,13244,2.0023849465850807,2.585930604095671,2.0,4.128813559322034
1955.0,9775.0,16.2,81.0,0.0,0.0,123.2,616.0,10140-13296,10140,13296,2.0060707731256597,2.000003616944061,2.0,6.418079096045198
1142.0,3426.0,0.0,0.0,0.0,0.0,23.333333333333332,70.0,10140-13342,10140,13342,2.0006898605824612,2.0,2.0,4.580790960451978
856.0,856.0,0.0,0.0,0.0,0.0,133.0,133.0,10140-13377,10140,13377,2.0013107351066766,2.0,2.0,3.9344632768361585
