FEATURE_ID,FEATURE_NA,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIM_LONG_,PRIM_LAT_D,PRIM_LON_1,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEV_IN_M,ELEV_IN_FT,MAP_NAME,DATE_CREAT,DATE_EDITE
1920686,Maquam Bay Wildlife Management Area,Park,VT,50,Franklin,11,445605N,0730958W,44.934764100000002,-73.166241400000004,,,,,29,95,East Alburg,05/08/2001,
1920745,Saint Albans Historic District,Park,VT,50,Franklin,11,444839N,0730501W,44.810879000000000,-73.083747900000006,,,,,124,407,Saint Albans,05/08/2001,
1920794,Swanton Park,Park,VT,50,Franklin,11,Unknown,Unknown,0.000000000000000,0.000000000000000,,,,,,,Unknown,05/08/2001,
1920798,Taylor Park,Park,VT,50,Franklin,11,444841N,0730456W,44.811434599999998,-73.082359100000005,,,,,131,430,Saint Albans,05/08/2001,
1920818,Woods Island State Park,Park,VT,50,Franklin,11,444809N,0731233W,44.802543499999999,-73.209298899999993,,,,,35,115,Saint Albans Bay,05/08/2001,
1920838,Baker Field,Park,VT,50,Windham,25,425155N,0725209W,42.865358899999997,-72.869264599999994,,,,,460,1509,Jacksonville,05/08/2001,
1920844,Beaver Brook Park,Park,VT,50,Windham,25,425159N,0725218W,42.866470000000000,-72.871764600000006,,,,,460,1509,Jacksonville,05/08/2001,
1920846,Bellows Falls Downtown Historic District,Park,VT,50,Windham,25,430802N,0722639W,43.133966700000002,-72.444254999999998,,,,,96,315,Bellows Falls,05/08/2001,
1920864,Brattleboro Downtown Historic District,Park,VT,50,Windham,25,425115N,0723332W,42.854248599999998,-72.558978900000000,,,,,87,285,Brattleboro,05/08/2001,
1920901,Crowell Park,Park,VT,50,Windham,25,425107N,0723403W,42.852026299999999,-72.567590300000006,,,,,122,400,Brattleboro,05/08/2001,05/07/2012
1920910,Dover Common,Park,VT,50,Windham,25,425640N,0724808W,42.944524700000002,-72.802318499999998,,,,,573,1880,West Dover,05/08/2001,
1920959,Fort Dummer Monument,Park,VT,50,Windham,25,424852N,0723413W,42.814526600000001,-72.570368000000002,,,,,126,413,Brattleboro,05/08/2001,
1920961,Fort Dummer State Park,Park,VT,50,Windham,25,424910N,0723346W,42.819526600000003,-72.562867900000001,,,,,193,633,Brattleboro,05/08/2001,
1920995,Hadley Field,Park,VT,50,Windham,25,430703N,0722623W,43.117578100000003,-72.439810499999993,,,,,118,387,Walpole,05/08/2001,
1921055,Living Memorial Park,Park,VT,50,Windham,25,425047N,0723514W,42.846470799999999,-72.587312900000001,,,,,155,509,Brattleboro,05/08/2001,
1921090,Newfane Village Historic District,Park,VT,50,Windham,25,425907N,0723918W,42.985358099999999,-72.655092600000003,,,,,168,551,Newfane,05/08/2001,
1921163,Saxtons River Village Historic District,Park,VT,50,Windham,25,430819N,0723035W,43.138688799999997,-72.509811499999998,,,,,150,492,Saxtons River,05/08/2001,
